74778 60 26
56803 10 1
56803 20 6
56803 30 17
56803 40 32
56803 50 29
56803 60 15
56769 10 1
56769 20 5
56769 30 14
56769 40 28
56769 50 28
56769 60 23
74751 10 1
74751 20 10
74751 30 27
74751 40 28
74751 50 21
74751 60 14
74773 10 1
74773 20 5
74773 30 15
74773 40 27
74773 50 29
74773 60 23
56725 10 0
56725 20 5
56725 30 14
56725 40 30
56725 50 29
56725 60 22
27526 10 0
27526 20 5
27526 30 15
27526 40 30
27526 50 30
27526 60 19
74796 10 1
74796 20 7
74796 30 17
74796 40 31
74796 50 25
74796 60 20
56647 10 1
56647 20 6
56647 30 14
56647 40 24
56647 50 30
56647 60 27
56709 10 1
56709 20 5
56709 30 17
56709 40 28
56709 50 27
56709 60 22
56805 10 2
56805 20 8
56805 30 18
56805 40 30
56805 50 29
56805 60 13
56798 10 0
56798 20 5
56798 30 20
56798 40 31
56798 50 26
56798 60 18
74764 10 1
74764 20 4
74764 30 11
74764 40 25
74764 50 29
74764 60 30
56813 10 1
56813 20 5
56813 30 18
56813 40 31
56813 50 28
56813 60 17
79492 10 1
79492 20 29
79492 30 15
79492 40 19
79492 50 19
79492 60 17
74222 10 0
74222 20 9
74222 30 14
74222 40 26
74222 50 25
74222 60 26
79495 10 1
79495 20 20
79495 30 14
79495 40 22
79495 50 24
79495 60 19
74795 10 1
74795 20 8
74795 30 18
74795 40 27
74795 50 29
74795 60 17
56761 10 1
56761 20 9
56761 30 17
56761 40 18
56761 50 23
56761 60 32
76915 10 1
76915 20 10
76915 30 7
76915 40 13
76915 50 23
76915 60 47
56715 10 1
56715 20 5
56715 30 14
56715 40 28
56715 50 30
56715 60 22
74829 10 0
74829 20 0
74829 30 0
74829 40 0
74829 50 0
74829 60 0
34242 10 0
34242 20 3
34242 30 16
34242 40 29
34242 50 30
34242 60 22
56722 10 1
56722 20 5
56722 30 12
56722 40 29
56722 50 30
56722 60 24
73398 10 0
73398 20 6
73398 30 15
73398 40 23
73398 50 24
73398 60 31
56779 10 0
56779 20 7
56779 30 16
56779 40 29
56779 50 28
56779 60 19
56662 10 1
56662 20 5
56662 30 14
56662 40 25
56662 50 29
56662 60 26
56729 10 0
56729 20 4
56729 30 19
56729 40 32
56729 50 29
56729 60 16
74799 10 3
74799 20 7
74799 30 17
74799 40 29
74799 50 29
74799 60 16
74752 10 1
74752 20 7
74752 30 15
